"id","source","text","hash","created_at","updated_at","section","text_clean"
1258,svc_import,"Дейли Днайв Heroes 3 VCMI: Вкус свободы. Обзор пиратской фракции Haven Haven или Гавань по духу близка Причалу, но эти пираты не приняли сюзеренство от Регны и откололись, посчитав, что у тех пиратов было недостаточно свободы. А вот Гавань — по-настоящему свободная пиратская фракция, где каждый волен делать то, что он хочет. Мне очень понравилось, как выглядит и экран города, и сам город на стратегической карте. Вот заходишь ты в эту пиратскую бухту, и тебя всего охватывает чувство безграничной свободы с солёным морским привкусом. Нет тесных городских стен, нет давящих сводов пещер или свисающих крон древних деревьев — только море, песок, солнце и свежий ветер...",fc6f492b03f3f494e0acac292281db8a,2025-09-23 22:09:23.980 +0300,2025-09-23 22:09:23.980 +0300,Игры,"Обзор пиратской фракции Haven Haven или Гавань по духу близка Причалу, но эти пираты не приняли сюзеренство от Регны и откололись, посчитав, что у тех пиратов было недостаточно свободы. А вот Гавань — по-настоящему свободная пиратская фракция, где каждый волен делать то, что он хочет. Мне очень понравилось, как выглядит и экран города, и сам город на стратегической карте. Вот заходишь ты в эту пиратскую бухту, и тебя всего охватывает чувство безграничной свободы с солёным морским привкусом. Нет тесных городских стен, нет давящих сводов пещер или свисающих крон древних деревьев — только море, песок, солнце и свежий ветер..."
755,svc_import,"Pochinka_blog Вечная машина для другой планеты: один робот, который живёт на Марсе уже 11 лет или история марсохода Curiosity Машины ломаются. Они стареют, теряют заряд, ржавеют, выходят из строя. Особенно если работают в экстремальных условиях. Но что, если машина не просто пережила пару лет, а более одиннадцати лет работает на другой планете? Не в фантастике. В реальности. 6 августа 2012 года, кратер Гейла, Марс. На поверхность падает 900-килограммовый марсоход. Его зовут Curiosity — «Любопытство». И он не собирается возвращаться. Это не просто робот. Это научная лаборатория на колёсах, которая должна была продержаться 687 марсианских дней (примерно 2 земных года)...",cdf7e1bf0a8253b8c7c545dc4c921f39,2025-09-23 22:09:23.980 +0300,2025-09-23 22:09:23.980 +0300,Путешествия,"Вечная машина для другой планеты: один робот, который живёт на Марсе уже 11 лет или история марсохода Curiosity Машины ломаются. Они стареют, теряют заряд, ржавеют, выходят из строя. Особенно если работают в экстремальных условиях. Но что, если машина не просто пережила пару лет, а более одиннадцати лет работает на другой планете? Не в фантастике. В реальности. 6 августа 2012 года, кратер Гейла, Марс. На поверхность падает 900-килограммовый марсоход. Его зовут Curiosity — «Любопытство». И он не собирается возвращаться. Это не просто робот. Это научная лаборатория на колёсах, которая должна была продержаться 687 марсианских дней (примерно 2 земных года)..."
1213,svc_import,"ProAvto Решил себе купить Belgee X70. Приценился, протестировал. Какая комплектация самая оптимальная? За сколько предложили купить кроссовер? В ближайшие месяцы планируют поменять автомобиль на новый. Бюджет покупки до 2,5 млн.руб., плюс-минус 100 тыс. руб. Уже посмотрел Chery Tiggo 4, Tiggo 7L, Haval Jolion, Haval M6, Haval Н3 и Belgee X50, пока больше всего из выше перечисленных склоняюсь к Haval Н3 или Haval Jolion. За полный привод переплачивать не вижу смысла, так как машина будет эксплуатироваться исключительно в городе и на трассе, дороги зимой чистят нормально. В качестве альтернативы выше перечисленным кроссоверам решил рассмотреть Belgee X70, он же Geely Atlas Pro...","96ac1e0ef327108b6e04e9524717dca4",2025-09-23 22:09:23.980 +0300,2025-09-23 22:09:23.980 +0300,Авто,"Решил себе купить Belgee X70. Приценился, протестировал. Какая комплектация самая оптимальная? За сколько предложили купить кроссовер? В ближайшие месяцы планируют поменять автомобиль на новый. Бюджет покупки до 2,5 млн.руб., плюс-минус 100 тыс. руб. Уже посмотрел Chery Tiggo 4, Tiggo 7L, Haval Jolion, Haval M6, Haval Н3 и Belgee X50, пока больше всего из выше перечисленных склоняюсь к Haval Н3 или Haval Jolion. За полный привод переплачивать не вижу смысла, так как машина будет эксплуатироваться исключительно в городе и на трассе, дороги зимой чистят нормально. В качестве альтернативы выше перечисленным кроссоверам решил рассмотреть Belgee X70, он же Geely Atlas Pro..."
791,svc_import,"GadgetPage «Жигулёвское»: как пили и варили пиво в СССР и почему сегодня вкус уже не тот «Жигулёвское» — символ советского пива. Его пили в столовых после смены, у уличных разливных киосков, на кухнях и дачах. Кажется, вкус был проще и чище. И почему сегодня многие говорят, что вкус: «уже не тот»? Разбираемся, как варили «Жигулёвское» в СССР, сколько и где его производили, почём продавали, как его пили, какие существовали сорта — и что изменилось. Изначально рецепт был «венским»: до 1930‑х в Самаре (тогда Куйбышев) на знаменитом Жигулёвском пивзаводе варили пиво австрийской школы — мягкое, золотисто‑янтарное, с деликатной хмелевой горчинкой...",fcd68d7a09176646ae64bdb0a7e17fbd,2025-09-23 22:09:23.980 +0300,2025-09-23 22:09:23.980 +0300,Статьи,"«Жигулёвское»: как пили и варили пиво в СССР и почему сегодня вкус уже не тот «Жигулёвское» — символ советского пива. Его пили в столовых после смены, у уличных разливных киосков, на кухнях и дачах. Кажется, вкус был проще и чище. И почему сегодня многие говорят, что вкус: «уже не тот»? Разбираемся, как варили «Жигулёвское» в СССР, сколько и где его производили, почём продавали, как его пили, какие существовали сорта — и что изменилось. Изначально рецепт был «венским»: до 1930‑х в Самаре (тогда Куйбышев) на знаменитом Жигулёвском пивзаводе варили пиво австрийской школы — мягкое, золотисто‑янтарное, с деликатной хмелевой горчинкой..."
792,svc_import,"Кто такие татары? Происхождение, обычаи, культура и искусство Татары — один из самых многочисленных народов России, титульный этнос Республики Татарстан. В статье расскажу, откуда он появился, какие праздники отмечают татары и какие есть особенности культуры, традиции, ну и не обойду стороной и национальную кухню. Этногенез татар многослойный и запутанный. Существует несколько теорий. Согласно самой распространённой версии, татары — прямые потомки тюркских племен волжских булгар, половцев и хазар, мигрировавших на территорию Поволжья в VI веке нашей эры из степей Центральной Азии...",a085e34baaebe10dc2e3c19d4e740367,2025-09-23 22:09:23.980 +0300,2025-09-23 22:09:23.980 +0300,Статьи,"Кто такие татары? Происхождение, обычаи, культура и искусство Татары — один из самых многочисленных народов России, титульный этнос Республики Татарстан. В статье расскажу, откуда он появился, какие праздники отмечают татары и какие есть особенности культуры, традиции, ну и не обойду стороной и национальную кухню. Этногенез татар многослойный и запутанный. Существует несколько теорий. Согласно самой распространённой версии, татары — прямые потомки тюркских племен волжских булгар, половцев и хазар, мигрировавших на территорию Поволжья в VI веке нашей эры из степей Центральной Азии..."
793,svc_import,"За рулем Любимые иномарки 90-х: о какой мечтали вы? Сегодня иной из таких автомобилей можно купить за одну среднюю месячную зарплату. Мы о них мечтали, завидовали тем, кто уже сумел купить, и тоже всеми силами старались стать обладателями заграничного чуда. Те, кому удалось, поражались удивительной динамике, комфорту и, конечно, надежности. Тогда-то и родилось много легенд, откорректированных позднее временем (и то не до конца - в неубиваемые Мерседесы или Тойоты 90-х верят до сих пор). Но на определенном этапе трех-, пяти- и даже десятилетние машины действительно выигрывали у отечественных практически во всем...","23451c2e6bba0587fede9659fa246b46",2025-09-23 22:09:23.980 +0300,2025-09-23 22:09:23.980 +0300,Статьи,"За рулем Любимые иномарки 90-х: о какой мечтали вы? Сегодня иной из таких автомобилей можно купить за одну среднюю месячную зарплату. Мы о них мечтали, завидовали тем, кто уже сумел купить, и тоже всеми силами старались стать обладателями заграничного чуда. Те, кому удалось, поражались удивительной динамике, комфорту и, конечно, надежности. Тогда-то и родилось много легенд, откорректированных позднее временем (и то не до конца - в неубиваемые Мерседесы или Тойоты 90-х верят до сих пор). Но на определенном этапе трех-, пяти- и даже десятилетние машины действительно выигрывали у отечественных практически во всем..."
795,svc_import,"arts_tobe - просто об искусстве Извольте-с: почему раньше добавляли букву ""с"" на конце? ""Да-с"", ""нет-с"", ""извольте-с"" - в XIX веке употребление слов с буквой ""с"" на конце было вполне привычным явлением. Давайте разберёмся, что это значило, с какой целью это делали и куда же исчезла эта таинственная буква ""с""? Окунемся в историю развития русского языка и узнаем про такое необычное явление, как ""словоерс""... Частница ""с"", добавляемая к существительному или глаголу, имеет свое название - ""словоерс"". И наименование эта частица получила благодаря азбуке. Вспомним названия букв в славянском алфавите - аз, буки, веди...","40cae6042472c88418948e33f7370ebe",2025-09-23 22:09:23.980 +0300,2025-09-23 22:09:23.980 +0300,Статьи,"arts_tobe - просто об искусстве Извольте-с: почему раньше добавляли букву ""с"" на конце? ""Да-с"", ""нет-с"", ""извольте-с"" - в XIX веке употребление слов с буквой ""с"" на конце было вполне привычным явлением. Давайте разберёмся, что это значило, с какой целью это делали и куда же исчезла эта таинственная буква ""с""? Окунемся в историю развития русского языка и узнаем про такое необычное явление, как ""словоерс""... Частница ""с"", добавляемая к существительному или глаголу, имеет свое название - ""словоерс"". И наименование эта частица получила благодаря азбуке. Вспомним названия букв в славянском алфавите - аз, буки, веди..."
803,svc_import,"Лоскутова Мария - про стиль и красоту ГЛАВНЫЕ МАСТХЭВЫ ОСЕНИ 2025! Сегодня у нас с вами очень практичная тема — мой личный топ-15 вещей на осень. Сразу оговорюсь: это не универсальный «обязательный список» для всех. Я делюсь именно своим видением и тем набором вещей, которые чаще всего хорошо вписываются в осенний гардероб очень многих! Но голову мы никогда не выключаем, особенно что касается сбора своего гардероба и все всегда адаптируем под себя! По этой статье я подготовила для вас чек-лист по этим вещам с наглядными примерами, и найти его можно в моем бесплатном...","898e2d7b50051bffb4c5fe3de805f506",2025-09-23 22:09:23.980 +0300,2025-09-23 22:09:23.980 +0300,Статьи,"Лоскутова Мария - про стиль и красоту ГЛАВНЫЕ МАСТХЭВЫ ОСЕНИ 2025! Сегодня у нас с вами очень практичная тема — мой личный топ-15 вещей на осень. Сразу оговорюсь: это не универсальный «обязательный список» для всех. Я делюсь именно своим видением и тем набором вещей, которые чаще всего хорошо вписываются в осенний гардероб очень многих! Но голову мы никогда не выключаем, особенно что касается сбора своего гардероба и все всегда адаптируем под себя! По этой статье я подготовила для вас чек-лист по этим вещам с наглядными примерами, и найти его можно в моем бесплатном..."
809,svc_import,"Валентина Хлистун | Этикет Смешная ошибка столового этикета Представьте себе вы сидите в ресторане, официант уже красиво сервировал стол, на белоснежной скатерти лежат идеально расставленные приборы, и перед вами оказывается тарелка. Но вот беда, она кажется чуть «далековато расположена от вас», и рука сама тянется пододвинуть ее поближе. На первый взгляд, что в этом такого? Мелочь, привычка, удобство. Но именно в таких мелочах этикет и проявляется. Они выдают уровень воспитания человека быстрее, чем дорогой костюм или изысканный заказ. В правилах ресторанного этикета есть строгий и однозначный ответ: пододвигать тарелку к себе нельзя...",c98342f36237a0c5967b69dcc41d90c3,2025-09-23 22:09:23.980 +0300,2025-09-23 22:09:23.980 +0300,Статьи,"Валентина Хлистун | Этикет Смешная ошибка столового этикета Представьте себе вы сидите в ресторане, официант уже красиво сервировал стол, на белоснежной скатерти лежат идеально расставленные приборы, и перед вами оказывается тарелка. Но вот беда, она кажется чуть «далековато расположена от вас», и рука сама тянется пододвинуть ее поближе. На первый взгляд, что в этом такого? Мелочь, привычка, удобство. Но именно в таких мелочах этикет и проявляется. Они выдают уровень воспитания человека быстрее, чем дорогой костюм или изысканный заказ. В правилах ресторанного этикета есть строгий и однозначный ответ: пододвигать тарелку к себе нельзя..."
810,svc_import,"Panfilov FM / Масскульт глазами историка Водевильный Дракула Бессона «Дракула» Люка Бессона, кажется, появился на свет так. В парижской кофейне времен Третьей Республики сидит розовощекий литератор, бойко пишущий газетные фельетоны и водевили для театров. Нежно поглаживает напомаженные усы. Потягивает ароматный горячий шоколад из фарфоровой чашки. С улицы доносятся крики мальчишек-разносчиков, рев клаксонов, обрывки музыки и сипловатый смех кокоток. Ползет по белоснежной скатерти пыльно-золотистый солнечный луч. Литератор читает «Дракулу» Брэма Стокера. Шевелит усами...","694b5026deb687e44f934ef32004963d",2025-09-23 22:09:23.980 +0300,2025-09-23 22:09:23.980 +0300,Статьи,"Panfilov FM / Масскульт глазами историка Водевильный Дракула Бессона «Дракула» Люка Бессона, кажется, появился на свет так. В парижской кофейне времен Третьей Республики сидит розовощекий литератор, бойко пишущий газетные фельетоны и водевили для театров. Нежно поглаживает напомаженные усы. Потягивает ароматный горячий шоколад из фарфоровой чашки. С улицы доносятся крики мальчишек-разносчиков, рев клаксонов, обрывки музыки и сипловатый смех кокоток. Ползет по белоснежной скатерти пыльно-золотистый солнечный луч. Литератор читает «Дракулу» Брэма Стокера. Шевелит усами..."
